question,answer,categorie
Quels sont mes droits en matière de congés payés ?,"En France, tout salarié a droit à 2,5 jours ouvrables de congés payés par mois de travail effectif, soit 30 jours ouvrables (5 semaines) par an. Les congés sont acquis du 1er juin au 31 mai. La prise de congés doit être validée par votre responsable en respectant un délai de prévenance d'au moins 1 mois.",Congés
Comment fonctionne le RTT ?,"Les RTT (Réduction du Temps de Travail) sont accordés aux salariés qui travaillent plus de 35h/semaine. Le nombre de jours dépend de votre accord d'entreprise. Ils doivent généralement être pris dans l'année civile et sont soumis à validation du manager. Non pris, ils peuvent être placés sur un CET (Compte Épargne Temps).",Congés
Quelle est la procédure pour poser un congé maladie ?,"En cas d'arrêt maladie, vous devez prévenir votre employeur dans les 48h et envoyer votre arrêt de travail à votre CPAM et à votre employeur dans les 48h. La Sécurité Sociale verse des indemnités journalières après un délai de carence de 3 jours. Votre employeur peut compléter ces indemnités selon la convention collective.",Congés
Comment demander un congé maternité ou paternité ?,"Le congé maternité dure 16 semaines (6 avant + 10 après l'accouchement) pour les deux premiers enfants. Le congé paternité est de 25 jours calendaires. Ces congés doivent être déclarés à votre employeur et à la CPAM. Les indemnités sont versées par la Sécurité Sociale sous conditions.",Congés
Peut-on reporter des congés non pris sur l'année suivante ?,"En principe, les congés non pris sont perdus au 31 mai. Cependant si le report est dû à une maladie ou un accident ils peuvent être reportés. Certains accords d'entreprise permettent aussi de placer des congés sur un CET. Consultez votre RH pour connaître les règles spécifiques à votre entreprise.",Congés
Comment est calculé mon salaire net ?,"Votre salaire net est calculé à partir du salaire brut en déduisant les cotisations salariales (environ 22-25% du brut). Ces cotisations comprennent la retraite, l'assurance chômage, la mutuelle, la prévoyance et la CSG/CRDS. Votre fiche de paie détaille toutes ces déductions. Depuis 2019 le prélèvement à la source de l'impôt est aussi déduit.",Paie
Quand est versé le salaire ?,"Le salaire est versé une fois par mois à date fixe définie par votre contrat ou accord d'entreprise (souvent le 25 ou dernier jour du mois). Si ce jour tombe un week-end ou férié le virement est effectué le jour ouvré précédent. Le bulletin de salaire doit vous être remis au plus tard le jour du paiement.",Paie
Comment lire ma fiche de paie ?,"La fiche de paie indique : votre salaire brut de base, les heures supplémentaires, les primes, puis les cotisations patronales et salariales. La différence entre brut et net représente vos charges salariales. Le net imposable est la base pour votre déclaration d'impôts. Le net à payer est ce que vous percevez réellement.",Paie
Qu'est-ce que la prime de fin d'année ?,"La prime de fin d'année (ou 13ème mois) n'est pas légalement obligatoire sauf si elle est prévue dans votre contrat, convention collective ou accord d'entreprise. Son montant correspond généralement à 1 mois de salaire brut. Elle est versée en décembre et est soumise aux cotisations sociales et à l'impôt.",Paie
Comment fonctionne la mutuelle d'entreprise ?,"Depuis 2016 toutes les entreprises doivent proposer une mutuelle collective à leurs salariés. L'employeur doit prendre en charge au minimum 50% de la cotisation. La mutuelle couvre les frais de santé non remboursés par la Sécu. Vous pouvez refuser si vous êtes déjà couvert par la mutuelle de votre conjoint.",Avantages
Qu'est-ce que le ticket restaurant et comment l'utiliser ?,"Le ticket restaurant est une aide alimentaire cofinancée par l'employeur (50-60%) et le salarié. La valeur faciale est entre 8 et 13 euros par jour travaillé. Il est accepté dans les restaurants et certains commerces alimentaires. La part patronale est exonérée de charges dans la limite légale. Ils sont valables jusqu'au 28 février de l'année suivante.",Avantages
Comment fonctionne le remboursement des transports ?,"L'employeur doit rembourser 50% du coût des abonnements de transport en commun (métro, bus, train). Ce remboursement est exonéré de charges et d'impôts. Pour les véhicules personnels certaines entreprises proposent un forfait mobilité durable (vélo, covoiturage) pouvant aller jusqu'à 800 euros par an exonérés.",Avantages
Qu'est-ce que le plan d'épargne entreprise PEE ?,"Le PEE est un dispositif d'épargne salariale permettant de constituer un portefeuille de valeurs mobilières. L'employeur peut abonder vos versements (jusqu'à 3 fois votre mise). Les fonds sont bloqués 5 ans sauf cas de déblocage anticipé (mariage, naissance, achat résidence principale).",Avantages
Comment fonctionne l'intéressement et la participation ?,"L'intéressement est facultatif et lié aux performances de l'entreprise. La participation est obligatoire dans les entreprises de plus de 50 salariés et représente une part des bénéfices. Ces sommes peuvent être versées directement (imposables) ou placées sur un PEE/PERCO (exonérées d'impôt sous conditions).",Avantages
Quelle est la procédure pour une demande de formation ?,"Pour demander une formation parlez-en d'abord à votre manager lors de votre entretien annuel ou en dehors. Soumettez ensuite une demande écrite aux RH avec le nom de la formation, l'organisme, le coût et les objectifs. Les formations peuvent être financées par le plan de développement des compétences de l'entreprise ou votre CPF.",Formation
Qu'est-ce que le CPF et comment l'utiliser ?,"Le Compte Personnel de Formation (CPF) est alimenté automatiquement chaque année (500 euros par an, maximum 5000 euros). Vous pouvez l'utiliser pour financer des formations certifiantes ou qualifiantes sur moncompteformation.gouv.fr. Les formations peuvent se faire hors temps de travail (sans accord employeur) ou pendant le travail (avec accord).",Formation
Comment fonctionne l'entretien annuel ?,"L'entretien annuel d'évaluation permet de faire le bilan de l'année, fixer les objectifs pour l'année suivante et discuter de votre développement. Il est mené par votre manager et doit faire l'objet d'un compte-rendu écrit. Il est distinct de l'entretien professionnel (tous les 2 ans) qui porte sur votre évolution de carrière.",Carrière
Comment demander une augmentation de salaire ?,"Préparez votre demande avec des arguments concrets : réalisations, responsabilités supplémentaires, comparaison marché. Choisissez le bon moment (entretien annuel après un succès). Proposez une fourchette basée sur votre valeur marché. Si refus demandez ce qu'il faut accomplir pour l'obtenir et fixez un nouveau rendez-vous.",Carrière
Quelles sont les règles pour le télétravail ?,"Le télétravail doit être formalisé par un accord écrit (avenant au contrat ou charte). L'employeur doit fournir le matériel nécessaire ou indemniser l'utilisation du matériel personnel. Une indemnité forfaitaire peut couvrir les frais. Les jours de télétravail sont définis d'un commun accord.",Télétravail
Ai-je droit à une indemnité pour le télétravail ?,"Oui l'employeur peut verser une allocation forfaitaire pour couvrir les frais liés au télétravail (électricité, internet, matériel). L'URSSAF accepte jusqu'à 2,50 euros par jour de télétravail sans justificatifs soit environ 57 euros par mois pour 23 jours. Cette allocation est exonérée de charges sociales et d'impôt.",Télétravail
Comment signaler un problème de harcèlement au travail ?,"Vous pouvez signaler à votre responsable RH, au CSE (Comité Social et Économique), au référent harcèlement de l'entreprise ou directement à l'Inspection du Travail. L'employeur a l'obligation légale de prévenir et traiter ces situations. Vous pouvez aussi contacter le Défenseur des Droits. Gardez des preuves écrites.",Droits
Quels sont mes droits en cas de licenciement ?,"En cas de licenciement vous avez droit à un préavis (selon ancienneté et convention collective), une indemnité légale de licenciement (après 8 mois d'ancienneté) et les allocations chômage si le licenciement n'est pas pour faute grave. Un entretien préalable est obligatoire.",Droits
Comment fonctionne la rupture conventionnelle ?,"La rupture conventionnelle est un accord amiable entre salarié et employeur pour mettre fin au contrat CDI. Elle ouvre droit aux allocations chômage. La procédure comprend au moins un entretien, la signature d'une convention homologuée par la DREETS et un délai de rétractation de 15 jours. L'indemnité est au moins égale à l'indemnité légale de licenciement.",Droits
Qu'est-ce que le droit à la déconnexion ?,"Le droit à la déconnexion est le droit de ne pas être connecté aux outils numériques professionnels en dehors des heures de travail. Il doit être défini dans un accord d'entreprise ou une charte. En pratique vous n'êtes pas obligé de répondre aux emails ou appels professionnels le soir le week-end ou pendant vos congés.",Droits
Comment fonctionne le comité social et économique CSE ?,"Le CSE est l'instance représentative du personnel obligatoire dans les entreprises de plus de 11 salariés. Il représente les salariés auprès de la direction sur les questions économiques sociales et culturelles. Il gère aussi les activités sociales et culturelles (chèques vacances, réductions). Ses membres sont élus tous les 4 ans.",Représentation
