categorie,question,answer
Présentation CAPESA,Qu'est-ce que le CAPESA ?,Le CAPESA (Centre d'Appui aux Écoles de Statistique Africaines) est l'organisme responsable de l'organisation des concours d'entrée aux écoles du RESA : l'ISSEA (Yaoundé) l'ENSEA (Abidjan) l'ENSAE (Dakar) et l'ENEAM (Cotonou). Il est basé à l'ENSAI de Rennes en France.
Présentation CAPESA,Quel est le rôle du CAPESA ?,Le CAPESA organise les concours de recrutement ISE et ISE cycle long/AS apporte un appui à l'amélioration des enseignements aide à l'accès à l'information aide à la recherche de ressources financières et appuie le renforcement des relations entre les écoles et leurs partenaires pour la formation statistique.
Présentation CAPESA,Qu'est-ce que le RESA ?,Le RESA est le Réseau des Écoles de Statistique Africaines. Il regroupe l'ISSEA de Yaoundé l'ENSEA d'Abidjan l'ENSAE de Dakar et l'ENEAM de Cotonou. Ces écoles forment depuis de nombreuses années des Ingénieurs Statisticiens Économistes (ISE).
Présentation CAPESA,Où se trouve le siège du CAPESA ?,Le CAPESA est basé à l'ENSAI (École Nationale de la Statistique et de l'Analyse de l'Information) sur le Campus de Ker-Lann à Bruz (35172) près de Rennes en France.
Présentation CAPESA,Combien de concours le CAPESA organise-t-il ?,Le CAPESA organise 3 concours : le concours ISE cycle long/AS (niveau bac) le concours ISE option mathématiques (niveau licence) et le concours ISE option économie (niveau licence).
Présentation CAPESA,Qu'est-ce qu'un Ingénieur Statisticien Économiste (ISE) ?,Un ISE est un cadre statisticien capable de contribuer aux orientations fondamentales des actions de développement des structures publiques parapubliques et privées. Il conçoit et réalise des enquêtes analyse les résultats élabore des comptes nationaux et dirige des services à compétence statistique et économique.
Présentation CAPESA,Quelles écoles font partie du réseau RESA ?,Le RESA comprend 4 écoles : l'ENSEA (École Nationale Supérieure de Statistique et d'Économie Appliquée) à Abidjan en Côte d'Ivoire ; l'ISSEA (Institut Sous-régional de Statistique et d'Économie Appliquée) à Yaoundé au Cameroun ; l'ENSAE (École Nationale de la Statistique et de l'Analyse Économique) à Dakar au Sénégal ; et l'ENEAM (École Nationale d'Économie Appliquée et de Management) à Cotonou au Bénin.
Présentation CAPESA,Qu'est-ce que l'ENEAM ?,L'ENEAM est l'École Nationale d'Économie Appliquée et de Management. Elle est située à Cotonou au Bénin et fait partie du réseau RESA. C'est le centre d'examen du Bénin pour le concours ISE. Elle prépare au diplôme d'Ingénieur Statisticien Économiste.
Présentation CAPESA,Comment contacter le centre d'examen du Bénin ?,Le centre d'examen du Bénin est l'ENEAM situé au 03 BP 1079 à Cotonou. Vous pouvez les contacter par email à eneam.uac@eneam.uac.bj ou par téléphone au (+229) 21 30 41 68.
Présentation CAPESA,Le CAPESA accepte-t-il les dossiers d'inscription directement ?,Non. Le CAPESA ne prend aucun dossier d'inscription. Vous devez obligatoirement vous inscrire auprès du centre d'examen de votre pays de résidence. Pour le Bénin c'est l'ENEAM à Cotonou.
